station_name,station_number,line_number,line_number.alt,perehod,perehod.alt,depth,opening_date,potok,latitude,longitude
Сокольники,4,1,Сокольническая,,,-9,15.05.1935,75400,"55,78888889","37,68027778"
Красносельская,5,1,Сокольническая,,,-8,15.05.1935,25100,"55,78","37,66722222"
Комсомольская,6,1,Сокольническая,5,Переход на станцию Комсомольская Кольцевой линии,-8,15.05.1935,59000,"55,77527778","37,65611111"
Красные Ворота,7,1,Сокольническая,,,-31,15.05.1935,44000,"55,76888889","37,64861111"
Чистые пруды,8,1,Сокольническая,6,Переход на станцию Тургеневская Калужско-Рижской линии,-35,15.05.1935,29200,"55,76583333","37,63888889"
Лубянка,9,1,Сокольническая,7,Переход на станцию Кузнецкий Мост Таганско-Краснопресненской линии,"-32,5",15.05.1935,38800,"55,75972222","37,62722222"
Охотный Ряд,10,1,Сокольническая,2,Переход на станцию Театральная Замоскворецкой линии,-15,15.05.1935,48200,"55,75777778","37,61666667"
Библиотека имени Ленина,11,1,Сокольническая,3,Переход на станцию Арбатская Арбатско-Покровской линии,-12,15.05.1935,33300,"55,75111111","37,61"
Кропоткинская,12,1,Сокольническая,,,-13,15.05.1935,54400,"55,74527778","37,60361111"
Парк культуры,13,1,Сокольническая,5,Переход на станцию Парк культуры Кольцевой линии,"-10,5",15.05.1935,44100,"55,73555556","37,59416667"
Смоленская,11,4,Филёвская,,,-8,15.05.1935,5800,"55,74888889","37,5825"
Арбатская,12,4,Филёвская,,,-8,15.05.1935,10600,"55,75166667","37,60083333"
Александровский сад,13,4,Филёвская,1,Переход на станцию Библиотека имени Ленина Сокольнической линии,-7,15.05.1935,7600,"55,7525","37,60861111"
Киевская,10,4,Филёвская,3,Переход на станцию Киевская Арбатско-Покровской линии,"-8,7",20.03.1937,21000,"55,74361111","37,56555556"
Площадь Революции,14,3,Арбатско-Покровская,2,Переход на станцию Театральная Замоскворецкой линии,"-33,6",13.03.1938,16700,"55,75666667","37,62166667"
Курская,15,3,Арбатско-Покровская,5,Переход на станцию Курская Кольцевой линии,"-30,7",13.03.1938,58300,"55,7575","37,65777778"
Сокол,4,2,Замоскворецкая,,,"-9,6",11.09.1938,78400,"55,805","37,51527778"
Аэропорт,5,2,Замоскворецкая,,,-10,11.09.1938,42100,"55,80027778","37,53277778"
Динамо,6,2,Замоскворецкая,,,"-39,6",11.09.1938,49600,"55,78972222","37,55805556"
Белорусская,7,2,Замоскворецкая,5,Переход на станцию Белорусская Кольцевой линии,"-33,1",11.09.1938,64100,"55,77666667","37,58361111"
Маяковская,8,2,Замоскворецкая,,,"-33,1",11.09.1938,51900,"55,77","37,59583333"
Театральная,10,2,Замоскворецкая,1,Переход на станцию Охотный Ряд Сокольнической линии,"-33,9",11.09.1938,59900,"55,75777778","37,61888889"
Автозаводская,13,2,Замоскворецкая,14,Переход на станцию Автозаводская Московского центрального кольца,-11,01.01.1943,86600,"55,7075","37,6575"
Новокузнецкая,11,2,Замоскворецкая,6,Переход на станцию Третьяковская Калужско-Рижской линии,"-37,5",20.11.1943,66300,"55,74138889","37,62944444"
Павелецкая,12,2,Замоскворецкая,5,Переход на станцию Павелецкая Кольцевой линии,"-33,5",20.11.1943,58100,"55,73055556","37,63777778"
Бауманская,16,3,Арбатско-Покровская,,,"-32,5",18.01.1944,35800,"55,77305556","37,68055556"
Семёновская,18,3,Арбатско-Покровская,,,-40,18.01.1944,63300,"55,78333333","37,72083333"
Партизанская,19,3,Арбатско-Покровская,14,Переход на станцию Измайлово Московского центрального кольца,-9,18.01.1944,16100,"55,78861111","37,75055556"
Электрозаводская,17,3,Арбатско-Покровская,,,"-31,5",15.05.1944,43600,"55,78166667","37,70361111"
Парк культуры,1,5,Кольцевая,1,Переход на станцию Парк культуры Сокольнической линии,-40,01.01.1950,39100,"55,73583333","37,59138889"
Октябрьская,2,5,Кольцевая,6,Переход на станцию Октябрьская Калужско-Рижской линии,-40,01.01.1950,30500,"55,72972222","37,60916667"
Добрынинская,3,5,Кольцевая,9,Переход на станцию Серпуховская Серпуховско-Тимирязевской линии,"-35,5",01.01.1950,26100,"55,72916667","37,62416667"
Павелецкая,4,5,Кольцевая,2,Переход на станцию Павелецкая Замоскворецкой линии,-40,01.01.1950,37300,"55,73166667","37,63777778"
Таганская,5,5,Кольцевая,7,Переход на станцию Таганская Таганско-Краснопресненской линии,-53,01.01.1950,68600,"55,74166667","37,65166667"
Курская,6,5,Кольцевая,3,Переход на станцию Курская Арбатско-Покровской линии,-40,01.01.1950,43800,"55,75694444","37,65944444"
Комсомольская,7,5,Кольцевая,1,Переход на станцию Комсомольская Сокольнической линии,-37,30.01.1952,56000,"55,77472222","37,655"
