"marshrut_";"marshrut_po_oblasti_";"_poezda";"rasstoyanie_vsego_po_marshrutu_";"vremya_otpravleniya_po_subektu_";"vremya_pribytiya_po_subektu_";"dni_sledovaniya";"period_sledovaniya";"sostavnost"
"Узловая 1 - Алексин";"Узловая -Алексин";"6652/6651";"114";"7:10";"10:00";"200";"ежедневно с 01.01.2019-18.04.2019 и с 01.10.2019-31.12.2019";"2"
"Узловая 1 - Алексин";"Узловая -Алексин";"6652/6651";"114";"7:10";"10:00";"165";"ежедневно с 19.04.2019 - 30.09.2019";"3"
"Урванка - Алексин";"Урванка-Алексин";"6653/6654";"134";"15:38";"19:04";"365";"ежедневно ";"3"
"Калуга1-Тула 1";"о.п 217 км-Тула";"6914/6913";"131";"10:32";"13:40";"166";" пт, вых. и праздничные дни ";"2"
"Калуга1-Узловая 1";"о.п 217 км-Узловая 1";"6916/6915";"184";"17:42";"21:47";"166";" пт, вых. и праздничные дни ";"2"
"Тула1 -Калуга 1";"Тула- о.п.217 км";"6906/6905";"131";"14:03";"17:10";"166";" пт, вых. и праздничные дни ";"2"
"Узловая 1 -Калуга 1";"Узловая 1- о.п 217 км";"6904/6903";"189";"5:33";"10:02";"166";" пт, вых. и праздничные дни";"2"
"Ряжск 1-Узловая1";"Оп. 393 км. - Узловая 1";"6843";"147";"14:00";"17:14";"365";"ежедневно";"2"
"Урванка - Ряжск 1";"Урванка - Оп. 393 км";"6842/6841";"175";"5:33";"9:44";"365";"ежедневно ";"2"
"Москва Курская - Тула 1";"Приокская - Тула 1";"7049";"194";"18:00";"20:24";"365";"ежедневно ";"11"
"Москва Курская - Тула 1";"Приокская - Тула 1";"7047";"194";"6:55";"9:14";"365";"ежедневно ";"11"
"Москва Курская - Тула 1";"Приокская - Тула 1";"7051";"194";"16:39";"19:12";"52";"по пятницам ";"11"
"Москва Курская - Тула 1";"Приокская - Тула 1";"7041";"194";"19:04";"21:43";"313";"ежедневно кроме суббот ";"11"
"Тула 1 - Царицыно";"Тула 1 - Приокская";"7040";"175";"6:30";"8:42";"313";"ежедневно кроме воскресений ";"11"
"Тула 1 - Москва Курская";"Тула 1 - Приокская";"7050";"194";"7:35";"9:57";"365";"ежедневно ";"11"
"Тула 1 - Москва Курская";"Тула 1 - Приокская";"7048";"194";"16:13";"18:49";"365";"ежедневно ";"11"
