name,first_week,year,inflation,first_week_box
Я прихожу с дождём,02.09.2010,2010,"1,673423",3121211
Джейн берет ружье,18.03.2016,2016,"1,04",5000160
Душевная кухня,21.01.2010,2010,"1,673423",3106086
Выстрел в пустоту,14.07.2017,2017,1,5192196
Пернатая банда,26.02.2016,2016,"1,04",4986789
К чуду,06.06.2013,2013,"1,328473",3898395
Служанка,26.08.2016,2016,"1,04",4963460
Повар на колесах,05.06.2014,2014,"1,202238",4284535
Безумные преподы,22.08.2013,2013,"1,328473",3851103
Волна,11.12.2015,2015,"1,09096",4688946
Звездная битва: Сквозь пространство и время,30.08.2007,2007,"2,339802",2185000
"Тот, кто гасит свет",09.10.2008,2008,"2,018811",2531164
Рейд,05.04.2012,2012,"1,434751",3559926
Шоколад,13.05.2016,2016,"1,04",4908376
Агент под прикрытием,10.01.2013,2013,"1,328473",3836304
Русская игра,04.10.2007,2007,"2,339802",2176914
Коллекционер,05.08.2010,2010,"1,673423",3042854
Эспен в королевстве троллей,08.12.2017,2017,1,5058214
"Осторожно, дети",23.04.2009,2009,"1,80897",2794102
Стартап,03.04.2014,2014,"1,202238",4201591
Овсянки,28.10.2010,2010,"1,673423",3015209
Жертвуя пешкой,20.11.2015,2015,"1,09096",4616780
Агора,11.02.2010,2010,"1,673423",2983775
Сафо,08.05.2008,2008,"2,018811",2471224
Апокалипсис,04.01.2007,2007,"2,339802",2129361
Иоанна – женщина на папском престоле,10.06.2010,2010,"1,673423",2975426
Шопо-коп,23.07.2009,2009,"1,80897",2745235
Бумажный солдат,13.11.2008,2008,"2,018811",2454033
Конверт,01.12.2017,2017,1,4948751
Белки в деле,25.03.2016,2016,"1,04",4757537
Дети сексу не помеха,03.05.2012,2012,"1,434751",3447597
Черная книга,18.01.2007,2007,"2,339802",2113487
Дикарь,03.11.2017,2017,1,4908327
Сейчас самое время,13.12.2012,2012,"1,434751",3417606
(Не)жданный принц,25.04.2013,2013,"1,328473",3686321
Вождь разнокожих,30.08.2012,2012,"1,434751",3410872
Цепной пёс,08.12.2017,2017,1,4891465
Поезд в Пусан,25.11.2016,2016,"1,04",4702345
Неприкасаемые,08.12.2011,2011,"1,539488",3174266
Олимпийская деревня,10.05.2012,2012,"1,434751",3395847
Шрам,19.02.2015,2015,"1,09096",4459884
Афера доктора Нока,10.11.2017,2017,1,4860881
Отец,03.05.2007,2007,"2,339802",2077088
Марко Макако,03.01.2013,2013,"1,328473",3627337
В доме,08.11.2012,2012,"1,434751",3352684
Возьми меня штурмом,07.04.2017,2017,1,4788917
Мобильник,08.07.2016,2016,"1,04",4597802
Дыши ради нас,01.12.2017,2017,1,4767715
"Рио, я люблю тебя",13.11.2014,2014,"1,202238",3963935
Репортаж из преисподней,27.05.2010,2010,"1,673423",2836420
Московский жиголо,14.02.2008,2008,"2,018811",2339742
Совсем не бабник,06.10.2011,2011,"1,539488",3068120
Сарила: Затерянная земля,04.07.2013,2013,"1,328473",3535665
Бобро поржаловать!,06.05.2010,2010,"1,673423",2798438
Жизнь Адель,07.11.2013,2013,"1,328473",3511985
Стив Джобс,08.01.2016,2016,"1,04",4440291
Приключения Гекльберри Финна,09.05.2013,2013,"1,328473",3448930
Влюбленные,29.11.2012,2012,"1,434751",3185000
Поезд на Дарджилинг. Отчаянные путешественники,31.01.2008,2008,"2,018811",2246326
Орбита 9,16.06.2017,2017,1,4531443
Запределье,03.01.2008,2008,"2,018811",2240956
Бобер,28.07.2011,2011,"1,539488",2935493
Война против всех,04.11.2016,2016,"1,04",4343607
Послесвадебный разгром,31.03.2017,2017,1,4500172
Счастливый конец,07.01.2010,2010,"1,673423",2687150
Китайская головоломка,03.04.2014,2014,"1,202238",3740000
Хранилище,22.09.2017,2017,1,4491370
Тихая застава,20.01.2011,2011,"1,539488",2910470
Двое во вселенной,06.05.2016,2016,"1,04",4300000
Из тьмы,19.02.2016,2016,"1,04",4300000
Иллюзия страха,04.12.2008,2008,"2,018811",2191266
​С 5 до 7. Время любовников,16.04.2015,2015,"1,09096",4020348
Я тоже хочу,13.12.2012,2012,"1,434751",3054707
24 часа на жизнь,03.11.2017,2017,1,4379233
Звездная карта,18.12.2014,2014,"1,202238",3637386
Упражнения в прекрасном,24.11.2011,2011,"1,539488",2834998
Безумные соседи,21.07.2017,2017,1,4265000
Синдром Петрушки,06.11.2015,2015,"1,09096",3900808
Нирвана,03.07.2008,2008,"2,018811",2107655
Незваные гости,18.03.2016,2016,"1,04",4076478
Мученицы,05.02.2016,2016,"1,04",4076234
Пока ночь не разлучит,11.10.2012,2012,"1,434751",2933483
Красотки в Париже,14.08.2014,2014,"1,202238",3500611
Лига мечты,03.07.2014,2014,"1,202238",3500000
Инструкции не прилагаются,14.08.2014,2014,"1,202238",3492618
Храброе сердце,30.01.2014,2014,"1,202238",3485696
Легенда острова Двид,15.04.2010,2010,"1,673423",2502136
Антиганг,05.02.2016,2016,"1,04",4019542
Танцуй отсюда!,24.04.2014,2014,"1,202238",3455389
Не угаснет надежда,16.01.2014,2014,"1,202238",3441827
Русичи,07.08.2008,2008,"2,018811",2044534
Ежик Бобби: Колючие приключения,29.09.2017,2017,1,4122691
Дом напротив,09.12.2016,2016,"1,04",3960123
Железный рыцарь 2,12.06.2014,2014,"1,202238",3406899
Питер. Лето. Любовь,03.04.2014,2014,"1,202238",3406367
Хорошее время,29.09.2017,2017,1,4074319
Паранормальное явление: Ночь в Токио,24.02.2011,2011,"1,539488",2641498
Адский бункер,03.07.2008,2008,"2,018811",2010300
Альдабра. Путешествие к таинственному острову,04.11.2016,2016,"1,04",3901602
Вышибала: Эпический замес,01.09.2017,2017,1,4053448
Весёлые ребята;),28.08.2014,2014,"1,202238",3358691
Мальчик-оборотень и волшебный автобус,18.01.2007,2007,"2,339802",1722500
Медведи-соседи,16.10.2014,2014,"1,202238",3349802
Убойный уикенд,10.10.2013,2013,"1,328473",3010794
Большие надежды,24.01.2013,2013,"1,328473",3010661
На дороге,04.10.2012,2012,"1,434751",2780026
Цветы войны,02.08.2012,2012,"1,434751",2779026
Экспат,27.09.2012,2012,"1,434751",2773718
Инди,10.05.2007,2007,"2,339802",1697383
Люблю твою жену,21.08.2014,2014,"1,202238",3294755
Черное Рождество,04.01.2007,2007,"2,339802",1691358
Петербург. Только по любви,23.09.2016,2016,"1,04",3801731
Уотергейт. Крушение Белого дома,29.09.2017,2017,1,3944045
Роджер Уотерс: The Wall,01.10.2015,2015,"1,09096",3606687
В центре внимания,12.02.2016,2016,"1,04",3775508
Крошка Молли,05.07.2012,2012,"1,434751",2726848
Жизнь других,19.07.2007,2007,"2,339802",1671818
Дом призраков,20.10.2017,2017,1,3874000
Отдамся в хорошие руки,30.07.2009,2009,"1,80897",2136808
Господин Никто,15.04.2010,2010,"1,673423",2307382
Убей своих друзей,11.12.2015,2015,"1,09096",3538390
Дедушка моей мечты,16.07.2015,2015,"1,09096",3528320
Эшби,24.09.2015,2015,"1,09096",3523949
Мой король,19.02.2016,2016,"1,04",3694922
Леди Макбет,04.08.2017,2017,1,3842389
Кочегар,14.10.2010,2010,"1,673423",2283474
100 футов,28.05.2009,2009,"1,80897",2105531
Мальчишник в Паттайе,17.03.2017,2017,1,3793542
Любовь: Инструкция по применению,09.06.2011,2011,"1,539488",2462287
Случайно беременна,22.07.2016,2016,"1,04",3640271
Citizenfour: Правда Сноудена,09.07.2015,2015,"1,09096",3444326
Невероятное путешествие мистера Спивета,30.10.2014,2014,"1,202238",3122831
Чистое искусство,10.06.2016,2016,"1,04",3585433
Стрингер,06.08.2015,2015,"1,09096",3387036
К черту на рога,12.08.2016,2016,"1,04",3546584
Игла Remix,16.09.2010,2010,"1,673423",2200833
"Человек, который знал всё",11.06.2009,2009,"1,80897",2023292
Генсбур. Любовь хулигана,10.06.2010,2010,"1,673423",2184651
Побудь в моей шкуре,31.07.2014,2014,"1,202238",3039834
День мертвецов: Злая кровь,05.01.2018,2018,1,3642220
Прогулка по солнечному свету,03.07.2014,2014,"1,202238",3018496
Развод по-французски,05.02.2015,2015,"1,09096",3300858
Луна 2112,17.09.2009,2009,"1,80897",1988126
Я ненавижу день Святого Валентина,04.02.2010,2010,"1,673423",2144619
Настоящая легенда,23.09.2010,2010,"1,673423",2139784
Муж моей вдовы,01.04.2010,2010,"1,673423",2137440
Кокоша – маленький дракон,30.07.2015,2015,"1,09096",3275000
