name,first_week,year,inflation,first_week_box
Пираты Карибского моря: На странных берегах,19.05.2011,2011,"1,539488",749091156
Аватар,17.12.2009,2009,"1,80897",601856450
Пираты Карибского моря: Мертвецы не рассказывают сказки,26.05.2017,2017,1,"1,05E+09"
Шрэк навсегда,20.05.2010,2010,"1,673423",604419850
Сумерки. Сага. Рассвет: Часть 2,15.11.2012,2012,"1,434751",697635248
Дэдпул,12.02.2016,2016,"1,04",957424900
Железный человек 3,02.05.2013,2013,"1,328473",722529385
Звёздные войны: Пробуждение силы,18.12.2015,2015,"1,09096",879496567
Миньоны,09.07.2015,2015,"1,09096",865162165
Форсаж 7,09.04.2015,2015,"1,09096",857010108
Ледниковый период 3: Эра динозавров,02.07.2009,2009,"1,80897",512489696
Мадагаскар 2,30.10.2008,2008,"2,018811",441748552
Мстители: Эра Альтрона,23.04.2015,2015,"1,09096",815859036
Хоббит: Битва пяти воинств,11.12.2014,2014,"1,202238",738000000
Трансформеры: Эпоха истребления,26.06.2014,2014,"1,202238",720070275
2012,12.11.2009,2009,"1,80897",469051164
Пираты Карибского моря: На краю Света,24.05.2007,2007,"2,339802",359385168
Самый лучший фильм,24.01.2008,2008,"2,018811",403869260
Форсаж 8,14.04.2017,2017,1,802717903
Отряд самоубийц,05.08.2016,2016,"1,04",762383939
Ледниковый период 4: Континентальный дрейф,12.07.2012,2012,"1,434751",552082461
Пятьдесят оттенков серого,12.02.2015,2015,"1,09096",705218892
Люди в черном 3,24.05.2012,2012,"1,434751",533050190
Сумерки. Сага. Рассвет: Часть 1,17.11.2011,2011,"1,539488",487346571
Форсаж 6,23.05.2013,2013,"1,328473",554991659
Мадагаскар 3,07.06.2012,2012,"1,434751",510811783
Трансформеры 3: Тёмная сторона Луны,30.06.2011,2011,"1,539488",474461785
Шрэк Третий,17.05.2007,2007,"2,339802",312062621
Стражи Галактики. Часть 2,05.05.2017,2017,1,730072103
Ной,27.03.2014,2014,"1,202238",605963218
Кот в сапогах,03.11.2011,2011,"1,539488",471864152
Вий 3D,30.01.2014,2014,"1,202238",602724009
Хоббит: Пустошь Смауга,19.12.2013,2013,"1,328473",538944384
Варкрафт,27.05.2016,2016,"1,04",683427143
Джон Картер,08.03.2012,2012,"1,434751",492330618
Сталинград,10.10.2013,2013,"1,328473",524266979
Фантастические твари и где они обитают,18.11.2016,2016,"1,04",664045054
Алиса в Стране чудес,04.03.2010,2010,"1,673423",407135124
Хоббит: Нежданное путешествие,20.12.2012,2012,"1,434751",474253961
Терминатор: Генезис,02.07.2015,2015,"1,09096",619814298
Трансформеры: Месть падших,25.06.2009,2009,"1,80897",370064484
Гарри Поттер и Дары Смерти: Часть II,14.07.2011,2011,"1,539488",433029507
Тайная жизнь домашних животных,19.08.2016,2016,"1,04",635047894
Гарри Поттер и Дары Смерти: Часть I,18.11.2010,2010,"1,673423",394220799
Движение вверх,05.01.2018,2018,1,654619988
Кунг-фу Панда 2,26.05.2011,2011,"1,539488",425031269
Босс-молокосос,24.03.2017,2017,1,654195980
Первый мститель: Противостояние,06.05.2016,2016,"1,04",621271538
Кредо убийцы,06.01.2017,2017,1,633169638
Мстители,03.05.2012,2012,"1,434751",441158273
Наша Russia: Яйца судьбы,21.01.2010,2010,"1,673423",375389731
Мумия: Гробница Императора Драконов,31.07.2008,2008,"2,018811",310591444
Оз: Великий и Ужасный,07.03.2013,2013,"1,328473",450634671
Мир Юрского периода,11.06.2015,2015,"1,09096",545983207
Зверополис,04.03.2016,2016,"1,04",568570175
Сумерки. Сага. Затмение,01.07.2010,2010,"1,673423",350795024
Битва Титанов,08.04.2010,2010,"1,673423",345625716
Адмиралъ,09.10.2008,2008,"2,018811",284945906
Обитаемый остров,01.01.2009,2009,"1,80897",317827352
Книга джунглей,08.04.2016,2016,"1,04",547989099
Голодные игры: Сойка-пересмешница. Часть I,20.11.2014,2014,"1,202238",471709883
Седьмой сын,02.01.2015,2015,"1,09096",516569437
Доктор Стрэндж,04.11.2016,2016,"1,04",538409996
Марсианин,08.10.2015,2015,"1,09096",512767423
Хэнкок,10.07.2008,2008,"2,018811",276675825
Гадкий я 3,30.06.2017,2017,1,555485450
Стражи Галактики,31.07.2014,2014,"1,202238",459438521
Бэтмен против Супермена: На заре справедливости,25.03.2016,2016,"1,04",529053237
Ирония судьбы. Продолжение,20.12.2007,2007,"2,339802",231794121
Малефисента,29.05.2014,2014,"1,202238",450445085
Выживший,08.01.2016,2016,"1,04",515664175
Гадкий я 2,15.08.2013,2013,"1,328473",401137824
"Высоцкий. Спасибо, что живой",01.12.2011,2011,"1,539488",345868356
Как приручить дракона 2,12.06.2014,2014,"1,202238",442208034
Гнев Титанов,29.03.2012,2012,"1,434751",370228084
Квант милосердия,06.11.2008,2008,"2,018811",261072900
Форсаж 4,09.04.2009,2009,"1,80897",288181281
Экипаж,22.04.2016,2016,"1,04",501037796
Гарри Поттер и Принц-полукровка,16.07.2009,2009,"1,80897",287129635
Последний богатырь,03.11.2017,2017,1,514254406
Особо опасен,26.06.2008,2008,"2,018811",251349885
Трансформеры: Последний рыцарь,23.06.2017,2017,1,507034642
Голодные игры: И вспыхнет пламя,21.11.2013,2013,"1,328473",380486699
Война миров Z,27.06.2013,2013,"1,328473",378531443
Звёздные войны: Последние джедаи,15.12.2017,2017,1,502671307
Форсаж 5,28.04.2011,2011,"1,539488",322898021
Самый лучший фильм 2,22.01.2009,2009,"1,80897",274237046
Тор 2: Царство тьмы,07.11.2013,2013,"1,328473",371352737
Черепашки-ниндзя,07.08.2014,2014,"1,202238",407130691
Пингвины Мадагаскара,27.11.2014,2014,"1,202238",404874321
Ёлки 3,26.12.2013,2013,"1,328473",364601455
Иллюзия обмана 2,10.06.2016,2016,"1,04",464742945
Геракл,24.07.2014,2014,"1,202238",397510070
Принц Персии: Пески времени,27.05.2010,2010,"1,673423",284959503
Морской бой,19.04.2012,2012,"1,434751",330260278
Голодные игры: Сойка-пересмешница. Часть II,20.11.2015,2015,"1,09096",433025268
Дракула,09.10.2014,2014,"1,202238",392234534
Исход: Цари и боги,02.01.2015,2015,"1,09096",431172199
Человек-паук: Возвращение домой,07.07.2017,2017,1,469787432
Сумерки. Сага. Новолуние,19.11.2009,2009,"1,80897",259221436
Логан,03.03.2017,2017,1,468269819
Прометей,31.05.2012,2012,"1,434751",325898995
Три богатыря: Ход конем,02.01.2015,2015,"1,09096",427525865
Росомаха: Бессмертный,25.07.2013,2013,"1,328473",349382615
Рапунцель: Запутанная история,25.11.2010,2010,"1,673423",277315849
Человек-паук 3: Враг в отражении,03.05.2007,2007,"2,339802",197963098
Интерстеллар,06.11.2014,2014,"1,202238",385117541
Рио 2,20.03.2014,2014,"1,202238",376755019
007: СПЕКТР,06.11.2015,2015,"1,09096",407385601
Новый Человек-паук,05.07.2012,2012,"1,434751",308664454
Холодное сердце,12.12.2013,2013,"1,328473",332484285
Терминатор: Да придёт спаситель,04.06.2009,2009,"1,80897",244046318
Люси,11.09.2014,2014,"1,202238",363268530
Гарри Поттер и Орден Феникса,19.07.2007,2007,"2,339802",186607381
Три богатыря на дальних берегах,03.01.2013,2013,"1,328473",327600802
Тор: Рагнарёк,10.11.2017,2017,1,435130977
Люди Икс: Апокалипсис,20.05.2016,2016,"1,04",417087247
47 ронинов,02.01.2014,2014,"1,202238",360773516
Жизнь Пи,03.01.2013,2013,"1,328473",325131347
Дом странных детей Мисс Перегрин,07.10.2016,2016,"1,04",413894199
Люди Икс: Дни минувшего будущего,22.05.2014,2014,"1,202238",352782574
Мумия,09.06.2017,2017,1,422066353
Оно,08.09.2017,2017,1,417403717
Планета обезьян: Революция,17.07.2014,2014,"1,202238",346038489
Монстры на каникулах 2,22.10.2015,2015,"1,09096",376621233
Трансформеры,05.07.2007,2007,"2,339802",175307608
Притяжение,27.01.2017,2017,1,407829316
Война Богов: Бессмертные,10.11.2011,2011,"1,539488",264798601
Хроники Нарнии: Покоритель Зари,09.12.2010,2010,"1,673423",243273542
Тачки 2,23.06.2011,2011,"1,539488",263882575
Рио,07.04.2011,2011,"1,539488",262042929
Новый Человек-паук: Высокое напряжение,24.04.2014,2014,"1,202238",335016292
Ангелы и Демоны,14.05.2009,2009,"1,80897",222577301
Мегамозг,04.11.2010,2010,"1,673423",239644819
Повелитель стихий,08.07.2010,2010,"1,673423",238296384
Головоломка,18.06.2015,2015,"1,09096",364412373
Викинг,06.01.2017,2017,1,397466598
Индиана Джонс и Королевство хрустального черепа,22.05.2008,2008,"2,018811",196765745
Кунг-фу Панда,05.06.2008,2008,"2,018811",194092291
Angry Birds в кино,13.05.2016,2016,"1,04",375241027
Тарас Бульба,02.04.2009,2009,"1,80897",215709621
Ледниковый период: Столкновение неизбежно,15.07.2016,2016,"1,04",373614306
Темный рыцарь: Возрождение легенды,26.07.2012,2012,"1,434751",270746807
Тихоокеанский рубеж,11.07.2013,2013,"1,328473",292315601
Кунг-фу Панда 3,29.01.2016,2016,"1,04",372163725
Обливион,11.04.2013,2013,"1,328473",288329538
На пятьдесят оттенков темнее,10.02.2017,2017,1,380693819
Ёлки 2,15.12.2011,2011,"1,539488",246878566
Любовь в большом городе,05.03.2009,2009,"1,80897",209342246
Железный человек 2,29.04.2010,2010,"1,673423",225584879
Ёлки,16.12.2010,2010,"1,673423",224998428
Лига справедливости,17.11.2017,2017,1,376036039
Обитель зла: Возмездие,13.09.2012,2012,"1,434751",261576800
Красавица и чудовище,17.03.2017,2017,1,374735867
Обитель зла 4: Жизнь после смерти 3D,09.09.2010,2010,"1,673423",223402672
Живая сталь,06.10.2011,2011,"1,539488",242025690
007: Координаты «Скайфолл»,25.10.2012,2012,"1,434751",258539517
Неудержимые 2,16.08.2012,2012,"1,434751",257689079
300 спартанцев: Расцвет империи,06.03.2014,2014,"1,202238",304045388
Такси 4,08.03.2007,2007,"2,339802",155690635
Изгой-один: Звёздные войны. Истории,16.12.2016,2016,"1,04",350139066
G.I. Joe: Бросок кобры 2,28.03.2013,2013,"1,328473",274025334
Волкодав из рода Серых Псов,04.01.2007,2007,"2,339802",155255246
Убийство в Восточном экспрессе,10.11.2017,2017,1,362145553
Начало,22.07.2010,2010,"1,673423",215963613
Годзилла,15.05.2014,2014,"1,202238",300215360
Мальчишник: Часть III,31.05.2013,2013,"1,328473",271518297
После нашей эры,06.06.2013,2013,"1,328473",269505983
Каникулы строгого режима,27.08.2009,2009,"1,80897",197711231
Зверопой,03.03.2017,2017,1,357634659
Как приручить дракона,18.03.2010,2010,"1,673423",212802456
Монстры против пришельцев,19.03.2009,2009,"1,80897",196217037
Пункт назначения 5,25.08.2011,2011,"1,539488",230085412
Восхождение Юпитер,05.02.2015,2015,"1,09096",324576134
Чёрная Молния,31.12.2009,2009,"1,80897",195678614
Иллюзия обмана,13.06.2013,2013,"1,328473",264595818
Kingsman: Золотое кольцо,22.09.2017,2017,1,349637462
Иван Царевич и Серый Волк,05.01.2012,2012,"1,434751",243477600
Моана,02.12.2016,2016,"1,04",335333680
Дом,19.03.2015,2015,"1,09096",318630293
Валериан и город тысячи планет,11.08.2017,2017,1,346932531
Призрачный гонщик 2,23.02.2012,2012,"1,434751",241311290
Боги Египта,26.02.2016,2016,"1,04",328557107
Ночь в музее: Секрет гробницы,08.01.2015,2015,"1,09096",311956254
Охотники на ведьм,17.01.2013,2013,"1,328473",255156603
Любовь-морковь 2,25.12.2008,2008,"2,018811",165165000
Легенда №17,18.04.2013,2013,"1,328473",250482301
Первый мститель: Другая война,03.04.2014,2014,"1,202238",274625616
"День, когда Земля остановилась",11.12.2008,2008,"2,018811",163397573
Черепашки-ниндзя 2,03.06.2016,2016,"1,04",315024943
Университет монстров,20.06.2013,2013,"1,328473",245972833
Хроники Нарнии: Принц Каспиан,15.05.2008,2008,"2,018811",159841711
Семейка Крудс,21.03.2013,2013,"1,328473",242499873
Гравитация,03.10.2013,2013,"1,328473",242186285
Три икса: Мировое господство,20.01.2017,2017,1,318999810
Инферно,14.10.2016,2016,"1,04",303439521
Грань будущего,05.06.2014,2014,"1,202238",260344701
Иван Царевич и Серый Волк 2,02.01.2014,2014,"1,202238",260168076
Эверест,24.09.2015,2015,"1,09096",285050248
Элизиум: Рай не на Земле,08.08.2013,2013,"1,328473",231702063
300 спартанцев,22.03.2007,2007,"2,339802",131172286
Пункт назначения 4,10.09.2009,2009,"1,80897",169127939
Шерлок Холмс: Игра теней,05.01.2012,2012,"1,434751",212782157
Кандагар,04.02.2010,2010,"1,673423",181087490
Планета обезьян: Война,14.07.2017,2017,1,301824400
Безумный Макс: Дорога ярости,14.05.2015,2015,"1,09096",276554999
Бегущий в лабиринте: Испытание огнём,17.09.2015,2015,"1,09096",276298640
Меч короля Артура,12.05.2017,2017,1,301125590
Любовь-морковь,08.03.2007,2007,"2,339802",128536547
Путешествия Гулливера,06.01.2011,2011,"1,539488",195000898
Ночь в музее 2,21.05.2009,2009,"1,80897",164899623
Геошторм,20.10.2017,2017,1,298266518
Джуманджи: Зов джунглей,05.01.2018,2018,1,297980755
Путешествие 2: Таинственный остров,09.02.2012,2012,"1,434751",207409189
Пассажиры,23.12.2016,2016,"1,04",286126624
Горько! 2,23.10.2014,2014,"1,202238",247478764
Последний охотник на ведьм,30.10.2015,2015,"1,09096",271106294
Горько!,24.10.2013,2013,"1,328473",221954116
Кухня в Париже,01.05.2014,2014,"1,202238",245045504
Одинокий рейнджер,04.07.2013,2013,"1,328473",220751907
Человек-муравей,16.07.2015,2015,"1,09096",268131875
Бой с тенью 2: Реванш,18.10.2007,2007,"2,339802",124513082
Миссия невыполнима: Протокол Фантом,15.12.2011,2011,"1,539488",189078312
Шерлок Холмс,31.12.2009,2009,"1,80897",160580352
Неудержимые,12.08.2010,2010,"1,673423",173294754
Турист,06.01.2011,2011,"1,539488",187668980
Тачки 3,16.06.2017,2017,1,288656700
Разлом Сан-Андреас,28.05.2015,2015,"1,09096",263386929
Белоснежка и охотник,14.06.2012,2012,"1,434751",200002661
Суррогаты,24.09.2009,2009,"1,80897",158543459
Бегущий по лезвию 2049,06.10.2017,2017,1,285056311
Бой с тенью 3D: Последний раунд,17.11.2011,2011,"1,539488",185009118
Вспомнить всё,09.08.2012,2012,"1,434751",198027209
Конг: Остров черепа,10.03.2017,2017,1,284000000
Джек – покоритель великанов,21.03.2013,2013,"1,328473",213115211
Ученик чародея,15.07.2010,2010,"1,673423",169016538
Тор,28.04.2011,2011,"1,539488",183037067
Легенда о Коловрате,01.12.2017,2017,1,280045928
Хранители снов,22.11.2012,2012,"1,434751",194508056
Трон: Наследие,23.12.2010,2010,"1,673423",166361681
Голодные игры,22.03.2012,2012,"1,434751",193429010
ЖАRА,04.01.2007,2007,"2,339802",118555246
Робин Гуд,13.05.2010,2010,"1,673423",165726385
Призрак в доспехах,31.03.2017,2017,1,275910004
Район №9,13.08.2009,2009,"1,80897",151722472
Скайлайн,11.11.2010,2010,"1,673423",162317806
Алиса в Зазеркалье,27.05.2016,2016,"1,04",260588587
Монстры на каникулах,18.10.2012,2012,"1,434751",188470925
Гитлер капут!,18.09.2008,2008,"2,018811",133743770
Ёлки 1914,25.12.2014,2014,"1,202238",224414838
Призрачный патруль,18.07.2013,2013,"1,328473",201348826
Третий лишний,02.08.2012,2012,"1,434751",186298006
Другой мир: Пробуждение,19.01.2012,2012,"1,434751",185799142
Солт,29.07.2010,2010,"1,673423",158994800
Тёмная башня,04.08.2017,2017,1,265918613
Перевозчик 3,27.11.2008,2008,"2,018811",131335456
Бросок кобры,06.08.2009,2009,"1,80897",146480028
Тролли,04.11.2016,2016,"1,04",254740109
"Крепкий орешек: Хороший день, чтобы умереть",14.02.2013,2013,"1,328473",199048438
Три богатыря и принцесса Египта,05.01.2018,2018,1,259839765
"Я, Франкенштейн",23.01.2014,2014,"1,202238",215445439
Обитель зла 3,20.09.2007,2007,"2,339802",110324562
Бегущий в лабиринте,18.09.2014,2014,"1,202238",214586861
Служебный роман. Наше время,17.03.2011,2011,"1,539488",167251917
Стартрек: Возмездие,16.05.2013,2013,"1,328473",193019324
Need for Speed: Жажда скорости,13.03.2014,2014,"1,202238",213193119
Самый лучший фильм 3-ДЭ,20.01.2011,2011,"1,539488",166385913
Чужой: Завет,19.05.2017,2017,1,256104296
Салют-7,13.10.2017,2017,1,255773507
Миссия невыполнима: Племя изгоев,06.08.2015,2015,"1,09096",233724403
Храбрая сердцем,21.06.2012,2012,"1,434751",177182475
Фокус,26.02.2015,2015,"1,09096",232637296
Очень плохая училка,07.07.2011,2011,"1,539488",164258432
"Дивергент, глава 2: Инсургент",19.03.2015,2015,"1,09096",230943081
Духless 2,05.03.2015,2015,"1,09096",230909665
Человек из стали,20.06.2013,2013,"1,328473",188216832
Я – легенда,07.02.2008,2008,"2,018811",123723986
Город героев,30.10.2014,2014,"1,202238",207154680
ВАЛЛ·И,03.07.2008,2008,"2,018811",122184173
Сплит,17.03.2017,2017,1,246487146
Губка Боб в 3D,12.02.2015,2015,"1,09096",225017693
Величайший шоумен,05.01.2018,2018,1,245181792
Вольт,27.11.2008,2008,"2,018811",120276554
Помпеи,20.02.2014,2014,"1,202238",200827436
Матильда,27.10.2017,2017,1,241331646
Великий Гэтсби,16.05.2013,2013,"1,328473",180649773
Kingsman: Секретная служба,12.02.2015,2015,"1,09096",219498027
Обитаемый остров: Схватка,23.04.2009,2009,"1,80897",132185320
РобоКоп,13.02.2014,2014,"1,202238",198791227
Время ведьм,06.01.2011,2011,"1,539488",154858491
Великая стена,17.02.2017,2017,1,237315109
Волк с Уолл-стрит,06.02.2014,2014,"1,202238",197002589
Ральф,01.11.2012,2012,"1,434751",164705192
Ночь в музее,04.01.2007,2007,"2,339802",100876462
День независимости: Возрождение,24.06.2016,2016,"1,04",225674230
Беовульф,22.11.2007,2007,"2,339802",100221894
Лоракс,08.03.2012,2012,"1,434751",162473624
Духless,04.10.2012,2012,"1,434751",161208957
Конан-варвар,18.08.2011,2011,"1,539488",149716923
Время,27.10.2011,2011,"1,539488",148751446
Петля времени,27.09.2012,2012,"1,434751",158968000
Битва за Севастополь,02.04.2015,2015,"1,09096",208911879
Приключения Тинтина: Тайна Единорога,03.11.2011,2011,"1,539488",147929445
Стиляги,01.01.2009,2009,"1,80897",125768484
Сайлент Хилл 2,25.10.2012,2012,"1,434751",158400000
Американский пирог: Все в сборе,05.04.2012,2012,"1,434751",158191962
Стартрек: Бесконечность,22.07.2016,2016,"1,04",218019360
Чудо-женщина,02.06.2017,2017,1,226369776
Мрачные тени,10.05.2012,2012,"1,434751",157469360
Любовь в большом городе 3,02.01.2014,2014,"1,202238",187593583
Призрачный гонщик,15.02.2007,2007,"2,339802",96325670
Джунгли,29.11.2012,2012,"1,434751",157033051
Люди Икс: Начало. Росомаха,30.04.2009,2009,"1,80897",124383375
Облачный атлас,08.11.2012,2012,"1,434751",155872212
Риддик,12.09.2013,2013,"1,328473",167913046
В поисках Дори,17.06.2016,2016,"1,04",214137692
Джанго освобожденный,17.01.2013,2013,"1,328473",167126074
Перси Джексон и Море чудовищ,22.08.2013,2013,"1,328473",167124420
Восстание планеты обезьян,04.08.2011,2011,"1,539488",144086513
Смурфики 2,01.08.2013,2013,"1,328473",166082219
Гоголь. Начало,01.09.2017,2017,1,220318217
Три богатыря и Морской царь,06.01.2017,2017,1,220259400
"Дивергент, глава 3: За стеной",11.03.2016,2016,"1,04",211416737
Титаник,05.04.2012,2012,"1,434751",153104155
Агенты А.Н.К.Л.,13.08.2015,2015,"1,09096",201036611
Астерикс на Олимпийских играх,31.01.2008,2008,"2,018811",108617004
Вверх,28.05.2009,2009,"1,80897",121109141
Три богатыря и Шамаханская царица,06.01.2011,2011,"1,539488",142263199
Мальчишник 2: Из Вегаса в Бангкок,02.06.2011,2011,"1,539488",142202115
Адреналин: Высокое напряжение,16.04.2009,2009,"1,80897",120784282
Легион,28.01.2010,2010,"1,673423",129940577
Защитники,24.02.2017,2017,1,216209117
Книга мастеров,29.10.2009,2009,"1,80897",119221393
Рататуй,28.06.2007,2007,"2,339802",91484669
Тарзан. Легенда,01.07.2016,2016,"1,04",204947619
Земля будущего,21.05.2015,2015,"1,09096",194909197
Крепкий орешек 4.0,28.06.2007,2007,"2,339802",90472831
Золотой компас,06.12.2007,2007,"2,339802",90156982
Телекинез,14.11.2013,2013,"1,328473",157600587
Мамма MIA!,25.09.2008,2008,"2,018811",103475517
Шаг вперед 3D,12.08.2010,2010,"1,673423",124283977
Сокровище нации: Книга Тайн,03.01.2008,2008,"2,018811",102822104
Знакомство с Факерами 2,23.12.2010,2010,"1,673423",123986319
Миссия Дарвина,20.08.2009,2009,"1,80897",114667103
Любовь в большом городе 2,25.02.2010,2010,"1,673423",123157665
О чём ещё говорят мужчины,05.01.2012,2012,"1,434751",143131015
Фиксики: Большой секрет,03.11.2017,2017,1,204900000
Эпик,31.05.2013,2013,"1,328473",153891230
Призрак,26.03.2015,2015,"1,09096",187057253
Бригада: Наследник,29.11.2012,2012,"1,434751",142210516
Код апокалипсиса,04.10.2007,2007,"2,339802",87081215
Железный человек,01.05.2008,2008,"2,018811",100513226
Август. Восьмого,23.02.2012,2012,"1,434751",141308061
Выкрутасы,17.02.2011,2011,"1,539488",131549899
Жених,16.09.2016,2016,"1,04",194262388
Третий лишний 2,25.06.2015,2015,"1,09096",184601619
Впритык,04.11.2010,2010,"1,673423",119451230
Приключения мистера Пибоди и Шермана,06.03.2014,2014,"1,202238",166192761
Рождественская история,19.11.2009,2009,"1,80897",110369455
Президент Линкольн: Охотник на вампиров,21.06.2012,2012,"1,434751",139007726
Астрал: Глава 2,03.10.2013,2013,"1,328473",149552927
Знамение,19.03.2009,2009,"1,80897",109778046
Инопланетное вторжение: Битва за Лос-Анджелес,10.03.2011,2011,"1,539488",128517903
Пираньи 3D,26.08.2010,2010,"1,673423",117741236
Щелкунчик и Крысиный король,30.12.2010,2010,"1,673423",117704983
Ранго,17.03.2011,2011,"1,539488",127667277
"Значит, война",16.02.2012,2012,"1,434751",136395040
Механик,27.01.2011,2011,"1,539488",127009214
Иван Царевич и Серый Волк 3,08.01.2016,2016,"1,04",187186427
Смурфики,11.08.2011,2011,"1,539488",126241741
Ёлки 5,23.12.2016,2016,"1,04",186634466
"Облачно, возможны осадки в виде фрикаделек",22.10.2009,2009,"1,80897",107133748
Ржевский против Наполеона,26.01.2012,2012,"1,434751",134036671
Притворись моей женой,24.03.2011,2011,"1,539488",124700674
Макс Пэйн,23.10.2008,2008,"2,018811",94914062
10 000 лет до н.э.,13.03.2008,2008,"2,018811",94851578
Белоснежка: Месть гномов,15.03.2012,2012,"1,434751",132714235
Чужие против Хищника: Реквием,10.01.2008,2008,"2,018811",93929684
Ярость,30.10.2014,2014,"1,202238",157045237
Что творят мужчины!,28.02.2013,2013,"1,328473",140296302
Тайна Коко,24.11.2017,2017,1,186235526
Хеллбой II: Золотая армия,17.07.2008,2008,"2,018811",91975247
Супер 8,16.06.2011,2011,"1,539488",120334197
Мушкетёры,13.10.2011,2011,"1,539488",120039114
Ёлки новые,05.01.2018,2018,1,183729253
Телепорт,14.02.2008,2008,"2,018811",90922048
Смешарики. Начало,22.12.2011,2011,"1,539488",118989120
Приключения Паддингтона,22.01.2015,2015,"1,09096",167458618
Утомленные солнцем 2: Предстояние,22.04.2010,2010,"1,673423",108900676
Робот по имени Чаппи,05.03.2015,2015,"1,09096",166186552
Секс в большом городе,19.06.2008,2008,"2,018811",89270799
8 первых свиданий,08.03.2012,2012,"1,434751",125043217
Метро,21.02.2013,2013,"1,328473",135007542
Первый мститель,28.07.2011,2011,"1,539488",116389551
Золушка,12.03.2015,2015,"1,09096",163934584
8 новых свиданий,02.01.2015,2015,"1,09096",163764029
Секс в большом городе 2,03.06.2010,2010,"1,673423",106659164
Одноклассники 2,29.08.2013,2013,"1,328473",134180376
Живое,24.03.2017,2017,1,177952082
Шпион,04.06.2015,2015,"1,09096",163059068
Однажды в Вегасе,08.05.2008,2008,"2,018811",87821898
Всегда говори `ДА`,15.01.2009,2009,"1,80897",96842731
Турбо,18.07.2013,2013,"1,328473",131634691
Охотники за привидениями,29.07.2016,2016,"1,04",168095560
Фантастическая четверка,20.08.2015,2015,"1,09096",159207141
РЭД 2,01.08.2013,2013,"1,328473",130504181
Гадкий я,08.07.2010,2010,"1,673423",103405956
Рыцарь дня,24.06.2010,2010,"1,673423",103304240
Доспехи Бога 3: Миссия Зодиак,31.01.2013,2013,"1,328473",130012708
Смертельная гонка,11.09.2008,2008,"2,018811",85534049
Астрал 3,04.06.2015,2015,"1,09096",158218350
Эволюция Борна,30.08.2012,2012,"1,434751",120127020
Паранормальное явление 4,18.10.2012,2012,"1,434751",119963680
Багровый пик,15.10.2015,2015,"1,09096",157612074
Легенды ночных стражей,30.09.2010,2010,"1,673423",102752531
Темный рыцарь,14.08.2008,2008,"2,018811",85019263
Девушка с татуировкой дракона,05.01.2012,2012,"1,434751",119307501
Би Муви: Медовый заговор,01.11.2007,2007,"2,339802",73015099
Муви 43,03.01.2013,2013,"1,328473",127890511
Перси Джексон и похититель молний,11.02.2010,2010,"1,673423",101488455
Сказки на ночь,01.01.2009,2009,"1,80897",93528538
28 панфиловцев,25.11.2016,2016,"1,04",162333611
Батальонъ,19.02.2015,2015,"1,09096",154659774
Мачо и ботан 2,03.07.2014,2014,"1,202238",140000000
Хранители,05.03.2009,2009,"1,80897",93034251
Тот ещё Карлосон!,15.03.2012,2012,"1,434751",116230912
Беременный,08.09.2011,2011,"1,539488",107375910
Секретная служба Санта-Клауса,08.12.2011,2011,"1,539488",107245296
Делай ноги 2,01.12.2011,2011,"1,539488",107143956
Самый лучший день,25.12.2015,2015,"1,09096",150496041
Облачно... 2: Месть ГМО,24.10.2013,2013,"1,328473",123098752
Мы из будущего 2,18.02.2010,2010,"1,673423",97695678
Темный мир в 3D,07.10.2010,2010,"1,673423",97395184
Пророк,26.04.2007,2007,"2,339802",69631740
Неудержимые 3,14.08.2014,2014,"1,202238",135470468
РЭД,14.10.2010,2010,"1,673423",97320857
Дуэлянт,30.09.2016,2016,"1,04",156376625
"С новым годом, мамы!",03.01.2013,2013,"1,328473",122357727
Монгол,20.09.2007,2007,"2,339802",69406106
Джон Уик 2,10.02.2017,2017,1,161494587
Избави нас от лукавого,28.08.2014,2014,"1,202238",134125459
Крым,29.09.2017,2017,1,161238526
Кухня. Последняя битва,21.04.2017,2017,1,160825406
Билет на Vegas,24.01.2013,2013,"1,328473",120677164
Фантом,22.12.2011,2011,"1,539488",104050673
Пиксели,23.07.2015,2015,"1,09096",146441426
День выборов,18.10.2007,2007,"2,339802",68132246
Илья Муромец и Соловей Разбойник,03.01.2008,2008,"2,018811",78876700
Хороший динозавр,27.11.2015,2015,"1,09096",144199182
Хранитель времени,05.01.2012,2012,"1,434751",109420709
5-я волна,22.01.2016,2016,"1,04",150273553
Малыш на драйве,25.08.2017,2017,1,156236542
О чём говорят мужчины,04.03.2010,2010,"1,673423",92879966
Кровью и потом: Анаболики,25.04.2013,2013,"1,328473",116707719
Параграф 78: Фильм первый,22.02.2007,2007,"2,339802",66006241
Люди Икс: Первый класс,02.06.2011,2011,"1,539488",100237440
Путешествие к Центру Земли,11.09.2008,2008,"2,018811",76362818
Паранормальное явление 3,20.10.2011,2011,"1,539488",100054552
Невероятный Халк,12.06.2008,2008,"2,018811",76174694
Исчезнувшая,02.10.2014,2014,"1,202238",127770217
Прогулка,15.10.2015,2015,"1,09096",139688409
Время первых,07.04.2017,2017,1,151210069
Сезон охоты 2,16.10.2008,2008,"2,018811",74434507
Джейсон Борн,02.09.2016,2016,"1,04",143571328
Вавилон Н.Э.,28.08.2008,2008,"2,018811",73715234
Пастырь,12.05.2011,2011,"1,539488",96268975
Я – Четвертый,24.02.2011,2011,"1,539488",96128551
